"pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"HS","2020","202001","January 2020","0","0","2","Exports","28","Antigua and Barbuda",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"6236530",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","31","Azerbaijan",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"2130205335",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","32","Argentina",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"4579468818",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","36","Australia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"19214953145",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","51","Armenia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"175680588",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","52","Barbados",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"37367826",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","56","Belgium",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"26704482822",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","60","Bermuda",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"4695773",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","68","Bolivia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"790285394",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","70","Bosnia Herzegovina",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"486406351",NA,NA,"0"
